,id,tweet,subtask_a,subtask_b,subtask_c
80,54546,"['’', 'watch', 'watch', 'watching', 'september', 'th', 'story', 'came', 'together', 'stood', 'shoulder', 'shoulder', 'made', 'proud', 'even', 'issue', 'yet', 'people', 'playing', 'damn', 'game', 'cannot', 'stand', 'moment', '—', 'protest', 'saturday']",NOT,,
81,50759,"['tear', 'made', 'water', 'feeling']",NOT,,
82,75992,"['trump', 'address', 'gun', 'control', 'representing', 'nra', 'let', 'say', 'url']",NOT,,
83,45068,"['drinking', 'much', 'koolaid', '’', 'bloated']",OFF,TIN,IND
84,17259,"['holder', 'need', 'prosecuted']",NOT,,
85,95225,"['player', 'woman', 'woman', 'color']",NOT,,
86,84667,"['institution', 'let', 'tweet', 'behaves', 'window', 'licker']",OFF,TIN,IND
87,14574,"['babysitting', 'kid', 'people', '”', 'old', 'think', '”', '“', 'three', 'kid', '”', 'medont', 'get', 'mad', '’', 'get', 'mad', '’', 'know', '’', 'know']",NOT,,
88,23784,"['well', 'url']",NOT,,
89,93119,"['wtc', 'threat', 'maga', 'qanon', 'wake', 'america', 'url']",OFF,TIN,IND
90,30115,"['easily', 'digestible', 'content', 'there', 'need', 'nuance', 'even', 'understand', 'story', 'show', 'picture', 'antifa', 'get', 'base', 'level', 'emotional', 'response', 'content', 'requires', 'order', 'profitable']",NOT,,
91,69281,"['try', 'looking', 'plain', 'old', 'democrat', 'liberal', 'one', '’', 'conversation']",NOT,,
92,15322,"['great', 'news', 'old', 'moonbeam', 'went', 'coma', '😂']",NOT,,
93,75089,"['omg', 'extra', 'ily']",NOT,,
94,21379,"['please', 'call', 'trump', 'isa', 'narcissistic', 'sociopath']",OFF,TIN,IND
95,43133,"['unfortunately', 'america', 'system', 'like', 'would', 'called', 'racist', 'liberal', 'believe', 'exam', 'racist', 'minority', 'group']",NOT,,
96,52102,"['know', 'still', 'alivebut', 'wondering', 'career', 'railroaded', 'odd', 'loved', 'herespecially', 'day']",NOT,,
97,59537,"['guy', 'always', 'presentbet', 'lol']",NOT,,
98,44209,"['baby', 'url']",NOT,,
99,96664,"['persuasive', 'fam']",NOT,,
100,12559,"['thats', 'nothing', 'new', 'going', 'vote', 'anyway', 'vote', 'liberal', 'november', 'url']",NOT,,
101,61914,"['burt', 'cool', 'dude']",NOT,,
102,32317,"['maga', 'trump', 'follow', 'follow', 'back']",NOT,,
103,94767,"['thank', 'u', '’', 'finally', 'point', '’', 'okay', 'using', 'heat', '’', 'happy']",NOT,,
104,64835,"['kind', 'like', 'trump', 'time', 'huh']",NOT,,
105,41353,"['former', 'antifa', 'white', 'house', 'arrest', 'citizen', 'arrest', 'someone', 'explain']",NOT,,
106,52252,"['fuck', 'em']",OFF,TIN,GRP
107,91001,"['good', 'movehe', 'big', 'loser']",OFF,TIN,IND
108,18495,"['let', 'get', 'bottom', 'dm', 'zipcode', 'ill', 'check', 'back', 'make', 'sure', 'enjoying', 'best', 'tv', 'offer', 'asap', 'nevin', 'bruce']",NOT,,
109,76680,"['record', 'know', 'doug', 'jones', 'personally', 'sen', 'bc', 'credible', 'choice', '’', 'next', 'election']",NOT,,
110,88013,"['president', '’', 'feeling', 'totally', 'opposite', 'cnn', '’', 'feeling', 'say', 'cnn', '’', 'liberal']",NOT,,
111,66349,"['literally', 'narrative', 'par', 'nazi', 'punch', 'antifa', 'punch', 'two', 'side', 'coin', 'nooo', 'ooo', 'oo', 'one', 'group', 'want', 'exterminate', 'deport', 'po', 'c', 'jew', 'want', 'prevent', 'comparison', 'benefit', 'fash']",OFF,UNT,
112,80561,"['many', 'dumb', 'argument', 'gun', 'control', 'may', 'dumbest', 'common']",OFF,TIN,IND
113,16052,"['idk', 'whats', 'going']",NOT,,
114,49996,"['yall', 'need', 'chill', 'really', 'abysmal', 'nd', 'half', 'rizzo', 'abysmal', 'st', 'half', 'baseball', 'happens', 'thing', 'still', 'need', 'work', 'yes', 'power', 'number', 'dropped', 'yes', 'could', 'bounce', 'back', 'anytime', 'url']",NOT,,
115,77086,"['dude', 'old', 'lmao', 'p', 'go', 'pack', 'go']",NOT,,
116,10972,"['thats', 'trump', 'supporter', 'cant', 'even', 'wear', 'hat', 'without', 'abused', 'meet', 'animal', 'left', 'attack', 'antifa', 'branch', 'communistsocialistnazis', 'democrat', 'party']",NOT,,
117,69160,"['laugh', '’', 'gotten', 'enough', '😌']",NOT,,
118,28380,['well'],NOT,,
119,40252,"['first', '—', '’', 'even', 'pizza', 'panera']",NOT,,
120,39907,"['please', 'dont', 'kill', 'antifa', 'hand']",OFF,TIN,IND
121,16164,"['see', 'shanahan', 'say', 'spoon', 'healthy', 'game', 'obviously', 'excuse', '’', 'maybe', '’', '“', 'doom', '”', 'sort', 'thing', 'seemed', 'game', 'maybe', 'still', 'pretty', 'good']",NOT,,
122,52824,"['good', 'girl']",NOT,,
123,77294,"['ugly', 'black', 'hearted', 'troll', 'url']",OFF,TIN,IND
124,13420,"['clearly', 'pokemon', 'master', 'almost', 'rare', 'candy', 'alone', 'legacy', 'moveset', 'pokemon', 'depends', 'like', 'keep', 'collection', 'piece', 'value', 'game']",NOT,,
125,16940,"['dont', 'believe', 'hype']",OFF,UNT,
126,83816,"['followed', 'new', 'maga', 'please', 'follow', 'back']",NOT,,
127,99156,"['protest', 'reported', 'sunderland', 'except', 'football', 'fan', 'one', 'flag', 'say', 'west', 'brom', 'getting', 'worse', 'even', 'type', 'maga', 'mega', 'mbga', 'mcga', 'conservative', 'patriot', 'muslim', 'far', 'left', 'leftist', 'doomed', 'lose', 'realises', 'civil', 'war', 'soon', 'url']",NOT,,
128,11255,"['liberal', 'would', 'still', 'vote', 'theyll', 'claim', 'comment', 'taken', 'context', 'still', 'man', 'integrity']",NOT,,
129,28841,"['saved', 'maga']",OFF,TIN,IND
130,79060,"['bringing', 'honor', 'decency', 'yoyo', 'picture', 'thats', 'rich']",NOT,,
131,71682,"['good', 'riddance']",NOT,,
132,17577,['goddess'],NOT,,
133,27503,"['omg', 'x', 'worst', 'best', 'case', 'best', 'cuase', 'made', 'laught', 'part', 'asking', 'dead', 'hurt', 'poor', 'thing', 'rest', 'standin', 'like', 'nope', 'suffering', 'dead', 'yeah', 'pretty', 'dead']",NOT,,
134,59998,"['probably', 'imagine', 'sjw', 'snowflake', 'dont', 'feel', 'safe', 'working', 'might', 'conservative', 'lurking', 'shadow', 'conservative', 'ruskies', 'st', 'century']",OFF,TIN,IND
135,81119,"['see', 'may', 'light', 'even', 'last', 'election', 'conservative', 'split', 'coming', 'tory', 'partyvery', 'soon']",NOT,,
136,28812,"['get', '😢', 'damn', 'hater', 'deleting', 'ig', 'reason', 'url']",OFF,TIN,GRP
137,84131,"['think', 'canadian', 'liberal', 'actually', 'blame', 'trudeau', 'cost', 'per', 'standard', 'push', 'u']",NOT,,
138,23179,"['warned', 'everyone', 'josh', 'gordon', 'last', 'month', 'daily', 'basis', 'im', 'sure', 'shocked', 'transpired', 'today']",NOT,,
139,28601,"['cant', 'liberal', 'read', 'read', 'url']",NOT,,
140,64776,"['sjshsj', 'thats', 'job', 'bitch']",OFF,TIN,IND
141,95712,"['discus', 'haiti']",NOT,,
142,69972,"['part', 'collusion', 'dont', 'get', 'dumocrat']",OFF,TIN,IND
143,37115,"['skilled', '😂', '😂']",NOT,,
144,80696,"['amazing', '💛', '💛', '💛']",NOT,,
145,68163,"['fist', 'pump', 'troop']",NOT,,
146,96789,"['reason', 'farakans', 'illegal', 'value', 'black', 'muslim', 'would', 'reason', 'detest', 'believe', 'illegal', 'value', 'simply', 'result', 'bad', 'character', 'like', 'supporter']",OFF,TIN,GRP
147,68629,"['let', 'leftist', 'democrat', 'riot', 'street', 'antifa', 'counterpart']",OFF,TIN,IND
148,66109,"['thought', 'canada', 'strict', 'gun', 'control', 'help', 'understand', 'happening']",NOT,,
149,19419,"['’', 'want', 'following', 'people', '’', 'like', 'conservative', 'sickening', 'biased', 'twitter', '’', 'management', 'twitter', 'left', 'bias']",NOT,,
150,32942,"['life', 'tho', '😑']",NOT,,
151,74285,"['important', 'midterm', 'get', 'word', 'democrat', 'want', 'people', 'color', 'believe', 'support', 'know', 'false', 'word', 'spread', 'even', 'need', 'know', 'maga', 'naacp']",NOT,,
152,77319,"['antifa', 'giving', 'death', 'threat', 'professor', 'ford', 'threatening', 'violence', 'candidate', 'loses', 'spanky', 'impeached']",OFF,TIN,IND
153,30517,"['seen', 'listened', 'antifa', 'pal']",NOT,,
154,69077,"['case', 'antifa', 'take', 'little', 'bat', 'something', 'good', 'kind', 'thing']",NOT,,
155,67758,"['title', 'scare', 'little', 'bit']",NOT,,
156,35944,"['gteradicating', 'hiv', 'malaria', 'middle', 'africa', 'good', 'bloody', 'luck']",NOT,,
157,48223,"['interaction', 'tory', 'volunteer', 'fcp', 'volunteer', 'witnessed', 'today', 'one', 'demanding', 'float', 'moved', 'back', 'parade', 'ableg', 'cdnpoli']",NOT,,
158,47168,"['seems', 'getting', 'thing', 'done']",NOT,,
159,53947,"['added', 'video', 'playlist', 'url', 'combat', 'mon', 'frere', 'v', 'ismael', 'et', 'maga', 'assassin', 'v', 'david', 'le', 'boxer', 'yfc']",NOT,,
160,49504,"['law', 'changedyou', 'make', 'allegation', 'day', 'guilty', 'proven', 'innocent', 'liberal', 'mentally', 'ill']",OFF,TIN,GRP
161,66291,"['straight', 'different', 'thank', 'joe', 'biden', 'one', 'also', 'wonder', 'outcome', 'name', 'antifa', 'hill']",NOT,,
162,31229,"['game', 'suck', 'donkey', 'ball']",OFF,TIN,GRP
163,75850,"['yo', 'real', 'gorgeous']",NOT,,
164,88546,"['absolutely', 'nail', 'coffin', 'hilliary']",OFF,TIN,IND
165,29241,"['hope', 'get', 'twitter', 'tell', 'amazing', '❤', '😄']",NOT,,
166,19842,"['“', '”', 'gun', 'control', 'tried', 'proven', 'failure', 'people', '’', 'vote', 'democrat', 'refuse', 'admit', 'reality', 'gun', 'control', '’', 'work']",NOT,,
167,69232,"['overwhelming', 'liberal', 'populated', 'state', 'make', 'policy', 'rest', 'america', 'clue', 'california', 'biggest', 'population', 'mean', 'u', 'share', 'value', 'get', 'clue', 'hillary']",NOT,,
168,36471,"['doesnt', 'partly', 'fund', 'antifa']",NOT,,
169,32897,['dumbass'],OFF,TIN,IND
170,62072,"['levi', 'strauss', 'wanting', 'gun', 'control', 'many', 'u', 'wonder', 'heck', 'want', 'freedom', 'taken', 'away', 'selective', 'freedom', 'url']",OFF,TIN,GRP
171,95444,"['point', 'time', 'dont', 'think', 'pres', 'trump', 'give', 'sht', 'neither', 'lol', 'url']",OFF,TIN,IND
172,51172,"['k', 'conservative', 'get', 'poll', 'vote', 'red']",NOT,,
173,62481,"['donnie', 'jr', 'family', 'owe', 'country', 'apology', 'taking', 'criminal', 'activity', 'white', 'house', 'lining', 'pocket', 'father', 'unfit', 'making', 'mockery', 'republic', 'shame', 'family', 'justice', 'prevail']",OFF,TIN,IND
174,71895,"['harvardharris', 'poll', 'conducted', 'year', 'found', 'percent', 'black', 'american', 'said', 'would', 'like', 'see', 'one', 'legal', 'immigrant', 'brought', 'u', 'year', 'url', 'maga', 'tcot']",NOT,,
175,78366,"['doubt', 'officially', 'become', 'national', 'socialist', 'american', 'worker', 'party', 'gone', 'ppl', 'like', 'acting', 'der', 'sturmer', 'antifa', 'einsatzgruppenwaffen', 's', 'detachment']",NOT,,
176,39021,"['oh', 'carmen', 'fricking', 'cute']",OFF,TIN,IND
177,68840,"['chelsea', 'crazy', 'mother']",OFF,TIN,IND
178,96837,"['time', 'conservative', 'binned', 'boris', 'sent', 'lyin', 'lynton', 'back', 'australia']",NOT,,
179,51815,"['manifesto', 'promised', 'vote', 'back', 'think', 'brexit', 'would', 'gone', 'brit', 'eu', 'allowed', 'vote', 'referendum', 'gerrymandered']",NOT,,
180,62023,"['metoo', 'movement', 'must', 'extension', 'antifa', 'complete', 'joke', 'movement', 'wasnt', 'selective', 'joe', 'biden', 'would', 'court', 'fonding', 'girl', 'camera', 'url']",NOT,,
181,10253,"['awesome', 'thank', 'give', 'humanity', 'hope']",NOT,,
182,21367,['goober'],NOT,,
183,33797,"['another', 'uninformed']",NOT,,
184,11160,"['forgot', 'foster', 'child']",NOT,,
185,32916,"['brainless', 'dems', 'want', 'u', 'believe', 'doesnt', 'majority', 'liberal', 'like', 'leader', 'corrupts', 'obama', 'crooked', 'hillary', 'real', 'bad', 'loser', 'maga', 'trump']",OFF,TIN,GRP
186,47427,"['fucking', 'way', 'said']",NOT,,
187,87052,"['supposedly', 'smart', 'people', 'didnt', 'think', 'one', 'moment', 'audience', 'people', 'voted', 'trump', 'scared', 'shitless', 'hearing', 'top', 'brass', 'speak', 'way']",NOT,,
188,29556,"['im', 'surprised', 'take', 'sick', 'woman', 'make', 'type', 'accusation', 'kind', 'find', 'far', 'left', 'liberal', 'praying', 'really', 'weak', 'member', 'gop', 'like', 'collins', 'flake', 'pull', 'back', 'support']",NOT,,
189,18547,"['california', 'gun', 'control', 'direct', 'result', 'white', 'people', 'scared', 'black', 'panther', 'using', 'right', 'bear', 'arm', 'nra', 'problem', 'gun', 'control']",OFF,TIN,GRP
190,32688,"['oct', 'brazil', 'citizen', 'overwhelming', 'voted', '“', '”', 'government', 'implementing', 'strict', 'gun', 'control', 'factor', 'brazilian', 'government', 'still', 'violates', 'referendum', 'everyday', 'brazilian', 'murdered', 'wzero', 'effective', 'method', 'self', 'defense']",NOT,,
191,57850,"['claim', 'without', 'sin', 'deceive', 'truth', 'u', 'confess', 'sin', 'faithful', 'forgive', 'u', 'sin', 'purify', 'u', 'unrighteousness', 'john']",NOT,,
192,82607,"['yet', 'million', 'permit', 'holding', 'people', 'carried', 'legally', 'concealed', 'firearm', 'day', '’', 'hurt', 'anyone', 'else', 'yet', 'want', 'stronger', 'gun', 'control', 'idiot', '🤨', 'wonderful', 'medium', 'hype', 'incident', 'fit', 'agenda']",OFF,TIN,GRP
193,82339,"['yes', 'hurt', 'self', 'gun', 'control', 'freak']",OFF,TIN,GRP
194,98077,"['get', 'like', 'guy', 'every', 'hysterical', 'tweet', 'url']",NOT,,
195,62815,"['always', 'show', 'dedication', 'wonder', 'best', 'url']",NOT,,
196,34510,"['bullshit', 'regulation', 'good', 'keep', 'conservative', 'striping', 'land', 'abyss']",OFF,TIN,GRP
197,53501,"['owner', 'culo']",OFF,TIN,IND
198,69928,"['scarred', 'life', 'lol', 'maga', 'url']",OFF,TIN,IND
199,31853,['fucking'],OFF,TIN,IND
200,13872,"['confirm', 'man', 'left', 'wing', 'activist', 'liar', 'who', 'story', 'change', 'hard', 'evidence', 'christine', 'blasey', 'ford', 'innocent', 'proven', 'guilty', 'confirm', 'kavanaugh', 'maga', 'weak', 'rinos', 'republican']",OFF,TIN,GRP
201,30791,"['reagan', 'also', 'signed', 'first', 'gun', 'control', 'bill', 'governor', 'ca']",NOT,,
202,80385,"['awe', 'hogwash', 'really', 'need', 'overstate', 'obvious']",NOT,,
203,54292,"['year', 'judge', 'extensive', 'background', 'peeplink', 'trump', 'boom', 'conservative', 'rape', 'liberal', 'url']",NOT,,
204,28985,"['im', 'assuming', 'im', 'going', 'get', 'answer', 'brainless', 'liberal', 'stooge', 'ocasiocortez', 'policy', 'plan', 'url', 'wake', 'america', 'america', 'future', 'vote', 'republican', 'surrender', 'america', 'dem', 'moron', 'maga']",OFF,TIN,OTH
205,52375,"['man', 'seriously', 'need', 'mental', 'health', 'treatment', 'firearm', 'confiscated', 'longer', 'danger', 'others', 'im', 'waiting', 'gun', 'control', 'advocate', 'add', 'list', 'school', 'shooting', 'buy', 'caliber', 'handgun', 'url']",NOT,,
206,74004,"['leftist', 'showing', 'yet', 'vile']",OFF,TIN,GRP
207,70838,"['drunk', 'crazy', 'man']",OFF,TIN,IND
208,64577,"['honored', 'included', 'fine', 'patriot', 'thank', 'rena', 'maga', '🇺', '🇸', '😀', '💕', '🇺', '🇸', 'dean', 'url']",NOT,,
209,44448,"['please', 'shut', 'ontario', 'seeing', 'conservative', 'stand', 'helping', 'loose', 'province', 'never', 'going', 'anywhere', 'way', 'completely', 'tune', 'canadian', 'mr', 'harper', 'oops', 'mean', 'mr', 'scheer', 'common', 'mistake', 'much', 'alike']",NOT,,
210,53928,"['alone', 'sexually', 'assaulted', 'fellow', 'law', 'student', 'never', 'reported', 'didnt', 'think', 'would', 'believed', 'however', 'something', 'happened', 'made', 'realize', 'wasnt', 'victim', 'felt', 'id', 'made', 'colossal', 'mistake']",NOT,,
211,45337,['liberal'],NOT,,
212,85707,"['another', 'terrorist', 'attack', 'reported', 'msm']",NOT,,
213,63292,"['dont', 'know', 'imma', 'url']",NOT,,
214,15991,"['money', 'hadnt', 'made', 'u', 'smarter']",OFF,TIN,IND
215,25009,"['yes', 'gilmer', 'make', 'laugh', 'much']",NOT,,
